descriptor,impurity_imp,impurity_std,perm_imp,perm_std,spearman_with_pIC50
Polar surface area,0.3329374872500589,0.02963137220305885,0.2759272162355554,0.044629687200427155,0.520424349572597
Heteroatoms,0.09530799859011793,0.01711360843691843,0.07337341618407986,0.04116413890952021,0.5066133547496328
Fraction sp3 C,0.07429865002653176,0.006598301452120467,0.057868337213571874,0.005155179755611215,0.09798249302147578
Molar refractivity,0.06666871274907908,0.007262028952388377,0.05450380015857159,0.017283275366717223,0.4570227753286556
H-bond donors,0.02772920202585196,0.004929279245835404,0.04679273991096017,0.020318548105129796,-0.1007908344860055
Lipophilicity (LogP),0.0783699891493037,0.0025751826819429744,0.045750087422743876,0.004258590635711832,-0.25171393042112283
Aromatic rings,0.01367113380534687,0.004813830265615088,0.045592687472133235,0.023775100169127664,0.5014977866456836
Accessible surface area,0.08450495457259388,0.028862018767471614,0.04548610647636013,0.025447905460259122,0.4775759014561275
H-bond acceptors,0.07655559388234115,0.046008371584563355,0.04216957078981036,0.0228228434400922,0.540509662177732
Molecular weight,0.05257110215455344,0.003065344922204126,0.02574654613069089,0.015041591621802089,0.4700925724977503
Rotatable bonds,0.02304681134955672,0.0024348924050513624,0.022434556950517298,0.009415057330812682,0.23101271074686974
Total rings,0.03304197217669247,0.017129948992205768,0.005653824386316433,0.009828280719049256,0.45495587351773553
Saturated rings,0.011902668920648143,0.0015449991870551837,0.002912191431555451,0.003651601915706975,0.18936682733097515
Aliphatic rings,0.008907241888678034,0.002224471563848943,0.001338333184778624,0.004700752924935927,0.12693411270592764
Heavy atoms,0.020486481458646063,0.0026452638500465042,0.0012045497153729244,0.004762945812903244,0.48115176725700104
