inchikey,partition,fold,representation,algorithm,label,y_true,y_pred
AADNQPJZRQAMOD-OOHWJJMZSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,9.0,8.641330000000028
AADPNBLFAHYYBS-VXGBXAGGSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.2,6.318299999999986
AAOJDMVYFBSKFT-UHFFFAOYSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,5.67,6.100273095238106
AARVTENEMZRJQO-VIZZQPHQSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.49,7.344740000000009
AASDZFLETHTKKS-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,5.58,6.857869999999996
ABOASBRALGFDPQ-GJZGRUSLSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.81,6.972770000000026
ABQLUKILVQNPKZ-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.79,7.6497299999999875
ABYAAFDXQRWTJE-DOTOQJQBSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.37,7.736360000000001
ADSGDRJGOSICMK-XJKSGUPXSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.62,7.423960000000002
ADVULNQGSUGCCG-KXTWHKPSSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.220000000000001,7.158693999999995
AFCFNPKLZQLKPK-APWZRJJASA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.605,7.45628550000002
AGKMZNQCTOWDFF-ZDUSSCGKSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.05,7.751710000000007
AGPQIQSLJAQASS-GLJUWKHASA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,8.155,7.483415952380949
AGXCNAPHYYLCHN-IBGZPJMESA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.24,7.342299047619019
AHHGHXFTQVZBPO-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,6.48,5.998387000000015
AHJAJTHWNBFJBF-YCPHGPKFSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.95,7.435370000000006
AIAJJMJAXBVVRD-YABSGUDNSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.9,7.005783333333333
AIWIRRGSGOLMQX-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.75,7.388914999999991
AIXGIOZVDSOSEU-HWWDLCQESA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.19,7.904699999999977
AJFUDTVIKFGQMS-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.57,6.046709000000006
AJGIUAWWWVYNEY-ZDUSSCGKSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.68,7.622703333333326
AKDLWVHAJCEAKD-ZDUSSCGKSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,9.0,8.68962
AKQMAZGMANPFFK-GOSISDBHSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.3,6.3590616666666175
AKQMAZGMANPFFK-SFHVURJKSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.51,6.3590616666666175
AKQMAZGMANPFFK-UHFFFAOYSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.63,6.3590616666666175
AKXYWNUSJTXEKI-NHAGDIPZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.54,7.182389166666673
AKZDACQLYHVVHF-WCQYABFASA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.62,7.673669999999987
AKZZSBPAHSIOBC-XVDXERDNSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.1,7.242115333333339
ALDVAWDTIJSMNO-ZDHWLGKOSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,5.1,5.806180000000008
ALEGZXFLOSZQFJ-OIPGSKEASA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,5.36,5.343280000000026
ALPYZNHKWLPYPM-HDJSIYSDSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.98,7.379626666666662
AMABIFVVCZYKIM-WCQYABFASA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.295,7.485895833333292
AMMUKFMDWPZRHN-OOHWJJMZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.4,8.331366190476183
ANDQZSDRMVJBQS-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.77,7.576702
ANNUHVXNCFVLIP-GXTWGEPZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.48,7.433289999999987
