protocol_fingerprint,n_assays,assays,sum_compounds,n_documents,n_known_fields,signature_information,verified_protocol_family,unique_compounds
human | not_reported | calcium_fluorescence | cinnamaldehyde | EC50 | NA | CHO | compound_before_agonist | NA,2,CHEMBL5735476;CHEMBL5735477,444,1,7,well_specified,False,275
human | not_reported | electrophysiology | NA | NA | NA | NA | NA | NA,5,CHEMBL5733104;CHEMBL4036813;CHEMBL4190659;CHEMBL5737447;CHEMBL4190628,292,4,3,partially_specified,False,291
human | not_reported | calcium_fluorescence | cinnamaldehyde | EC80 | NA | CHO | compound_before_agonist | NA,2,CHEMBL5735475;CHEMBL5735474,281,1,7,well_specified,False,150
human | not_reported | calcium_fluorescence | cinnamaldehyde | EC80 | 75 | CHO | compound_before_agonist | 20,2,CHEMBL5737786;CHEMBL5735742,214,2,9,well_specified,False,214
human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,CHEMBL2071976;CHEMBL2071975;CHEMBL3300585;CHEMBL1944172;CHEMBL3364861;CHEMBL4347276;CHEMBL5708945;CHEMBL1049520;CHEMBL2328091,134,8,4,partially_specified,False,106
human | not_reported | calcium_fluorescence | cinnamaldehyde | EC50 | 75 | CHO | compound_before_agonist | 20,1,CHEMBL5736402,108,1,9,well_specified,False,108
human | not_reported | NA | AITC | NA | 30 | CHO | NA | NA,1,CHEMBL3887573,97,1,5,well_specified,False,97
human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,5,CHEMBL1118499;CHEMBL5734964;CHEMBL3706106;CHEMBL5732578;CHEMBL5210580,82,5,4,partially_specified,False,82
human | not_reported | NA | NA | NA | NA | NA | NA | NA,16,CHEMBL4885657;CHEMBL3222891;CHEMBL3757221;CHEMBL5096638;CHEMBL5621665;CHEMBL1118227;CHEMBL1118501;CHEMBL5096639;CHEMBL1118734;CHEMBL4022626;CHEMBL5680929;CHEMBL1118735;CHEMBL1118736;CHEMBL1118737;CHEMBL3299550;CHEMBL5577382,64,10,2,low_information,False,57
human | not_reported | calcium_fluorescence | AITC | NA | 50 | NA | NA | NA,3,CHEMBL5739043;CHEMBL5737489;CHEMBL5739380,63,3,5,well_specified,False,62
human | not_reported | calcium_fluorescence | NA | NA | NA | CHO | NA | NA,5,CHEMBL5318377;CHEMBL4828020;CHEMBL3299561;CHEMBL1949463;CHEMBL4347296,45,5,4,partially_specified,False,45
human | not_reported | calcium_fluorescence | AITC | NA | NA | HEK293 | NA | NA,9,CHEMBL1118740;CHEMBL5360087;CHEMBL4837096;CHEMBL5126028;CHEMBL5142855;CHEMBL5680872;CHEMBL5680930;CHEMBL4022611;CHEMBL5577372,41,8,5,well_specified,False,38
human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,2,CHEMBL3299551;CHEMBL1118226,40,2,5,well_specified,False,40
human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | NA | NA | NA,2,CHEMBL3888736;CHEMBL3888572,30,2,4,partially_specified,False,30
human | not_reported | calcium_fluorescence | AITC | NA | NA | CHO | NA | NA,2,CHEMBL3789590;CHEMBL3299560,30,2,5,well_specified,False,30
human | not_reported | calcium_fluorescence | NA | NA | NA | NA | NA | NA,8,CHEMBL1949457;CHEMBL2422134;CHEMBL4036824;CHEMBL1118233;CHEMBL1118234;CHEMBL1118738;CHEMBL4880071;CHEMBL4885651,23,6,3,partially_specified,False,21
human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | HEK293 | NA | NA,2,CHEMBL4049011;CHEMBL1118739,21,2,5,well_specified,False,21
human | not_reported | NA | AITC | NA | NA | NA | NA | NA,3,CHEMBL3363074;CHEMBL1118500;CHEMBL2433975,15,3,3,partially_specified,False,15
