category,n_assays,sum_assay_compound_counts_nonunique,unique_compounds_union,n_measurements
inhibition,89,2043,1614,2150
human,75,1923,1513,2030
agonist_context,67,1594,1181,1688
calcium,63,1703,1300,1798
fluorescence,53,1537,1165,1631
aitc,34,308,265,309
hek293,29,218,177,231
candidate_calcium_AITC_review,25,290,261,291
cho,22,1300,980,1382
candidate_functional_inhibition_review,20,132,86,134
functional_metadata,20,132,86,134
cinnamaldehyde,15,1156,850,1236
electrophysiology,13,307,301,319
preincubation,5,67,60,67
direct_agonism,3,19,16,20
mutant_or_chimera,3,5,5,5
coapplication,2,30,30,30
candidate_strict_review,2,10,9,10
other_named_agonist,1,14,14,14
wild_type,1,11,11,11
missing_or_sparse_description,1,1,1,1
binding,0,0,0,0
jt010,0,0,0,0
postactivation,0,0,0,0
xenopus,0,0,0,0
