activity_id,record_id,molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,assay_chembl_id,document_chembl_id,document_year,standard_value_num,standard_units,pic50,reported_pchembl,pchembl_delta,method,agonist,agonist_model_category,agonist_level,agonist_concentration_uM,cell_line,compound_preincubation_min,activity_time_min,application_order,protocol_fingerprint,confidence_score,data_validity_comment,potential_duplicate,construct,source_review_status,source_note,compound_assay_measurement_count,is_compound_assay_replicate,include_primary_conservative,include_broad_sensitivity,primary_exclusion_reasons,broad_exclusion_reasons
3088817,871853,CHEMBL593902,CHEMBL593902,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,CHEMBL1049520,CHEMBL1153159,2010,2800.0,nM,5.552841968657781,5.55,-0.002841968657780747,calcium_fluorescence,not specified,not specified,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3088818,871855,CHEMBL603735,CHEMBL603735,CC(=C\c1ccccc1)/C(C)=N/O,CHEMBL1049520,CHEMBL1153159,2010,2700.0,nM,5.568636235841012,5.57,0.00136376415898809,calcium_fluorescence,not specified,not specified,,,HEK293,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | HEK293 | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301226,914666,CHEMBL593902,CHEMBL593902,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,CHEMBL1118226,CHEMBL1155439,2010,3100.0,nM,5.508638306165727,5.51,0.0013616938342728702,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301227,914667,CHEMBL1085708,CHEMBL1085708,CCC(=N\O)/C(C)=C/c1ccc(F)nc1,CHEMBL1118226,CHEMBL1155439,2010,1250.0,nM,5.903089986991944,5.9,-0.0030899869919434053,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301228,914668,CHEMBL1085709,CHEMBL1085709,CCC(=N\O)/C(C)=C/c1cccs1,CHEMBL1118226,CHEMBL1155439,2010,11000.0,nM,4.958607314841775,4.96,0.0013926851582253263,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301229,914685,CHEMBL1084370,CHEMBL1084370,CCC(=N\O)/C(C)=C/c1ccc(OC)nc1,CHEMBL1118226,CHEMBL1155439,2010,23400.0,nM,4.6307841425898575,4.63,-0.0007841425898575949,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301230,914686,CHEMBL1085944,CHEMBL1085944,CCC(=N\O)/C(C)=C/c1ccsc1,CHEMBL1118226,CHEMBL1155439,2010,1320.0,nM,5.8794260687941495,5.88,0.0005739312058503643,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301231,914687,CHEMBL1084371,CHEMBL1084371,CCC(=N\O)/C(C)=C/c1cccnc1,CHEMBL1118226,CHEMBL1155439,2010,17000.0,nM,4.769551078621726,4.77,0.00044892137827368117,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301232,914688,CHEMBL1084372,CHEMBL1084372,CCC(=N\O)/C(C)=C/c1ccncc1,CHEMBL1118226,CHEMBL1155439,2010,8610.0,nM,5.064996848546345,5.07,0.0050031514536552635,calcium_fluorescence,cinnamaldehyde,cinnamaldehyde,,,CHO,,,,human | not_reported | calcium_fluorescence | cinnamaldehyde | NA | NA | CHO | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301176,914711,CHEMBL1086589,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118233,CHEMBL1155439,2010,850.0,nM,6.070581074285707,6.07,-0.0005810742857068618,calcium_fluorescence,URB597,other,,,,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301193,914890,CHEMBL1086310,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118234,CHEMBL1155439,2010,1800.0,nM,5.7447274948966935,5.75,0.005272505103306457,calcium_fluorescence,nifedipine,other,,,,,,,human | not_reported | calcium_fluorescence | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301150,914707,CHEMBL1086371,CHEMBL1086371,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,CHEMBL1118499,CHEMBL1155439,2010,21.0,nM,7.6777807052660805,7.68,0.0022192947339192415,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301151,914708,CHEMBL1086586,CHEMBL1086586,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118499,CHEMBL1155439,2010,91.0,nM,7.040958607678906,7.04,-0.0009586076789060982,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301152,914709,CHEMBL1086587,CHEMBL1086587,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,CHEMBL1118499,CHEMBL1155439,2010,35.0,nM,7.455931955649724,7.46,0.004068044350275635,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301153,914710,CHEMBL1086588,CHEMBL1086588,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL1118499,CHEMBL1155439,2010,51.0,nM,7.292429823902063,7.29,-0.002429823902063255,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301164,914977,CHEMBL1085104,CHEMBL1085104,CC(=O)SC(NC(=O)c1ccc(Cl)cc1)C(Cl)(Cl)Cl,CHEMBL1118499,CHEMBL1155439,2010,1100.0,nM,5.958607314841775,5.96,0.0013926851582253263,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301165,914822,CHEMBL1084857,CHEMBL1084857,Cc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118499,CHEMBL1155439,2010,1400.0,nM,5.853871964321762,5.85,-0.003871964321762178,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301175,914711,CHEMBL1086589,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118499,CHEMBL1155439,2010,2000.0,nM,5.698970004336019,5.7,0.0010299956639814312,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301189,914890,CHEMBL1086310,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118499,CHEMBL1155439,2010,6200.0,nM,5.207608310501746,5.21,0.0023916894982543013,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301201,914932,CHEMBL1086339,CHEMBL1086339,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118499,CHEMBL1155439,2010,14300.0,nM,4.844663962534939,4.84,-0.004663962534938726,calcium_fluorescence,AITC,AITC,,,,,,,human | not_reported | calcium_fluorescence | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301154,914707,CHEMBL1086371,CHEMBL1086371,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,CHEMBL1118500,CHEMBL1155439,2010,120.0,nM,6.920818753952375,6.92,-0.0008187539523749621,electrophysiology,AITC,AITC,,,,,,,human | not_reported | NA | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301155,914708,CHEMBL1086586,CHEMBL1086586,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118500,CHEMBL1155439,2010,260.0,nM,6.585026652029182,6.58,-0.005026652029181733,electrophysiology,AITC,AITC,,,,,,,human | not_reported | NA | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301156,914709,CHEMBL1086587,CHEMBL1086587,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,CHEMBL1118500,CHEMBL1155439,2010,167.0,nM,6.777283528852417,6.78,0.0027164711475835546,electrophysiology,AITC,AITC,,,,,,,human | not_reported | NA | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301157,914710,CHEMBL1086588,CHEMBL1086588,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL1118500,CHEMBL1155439,2010,252.0,nM,6.598599459218455,6.6,0.0014005407815442794,electrophysiology,AITC,AITC,,,,,,,human | not_reported | NA | AITC | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301158,914707,CHEMBL1086371,CHEMBL1086371,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,CHEMBL1118501,CHEMBL1155439,2010,7.0,nM,8.154901959985743,8.15,-0.004901959985742721,unknown,noxious cold,other,,,,,,,human | not_reported | NA | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301159,914708,CHEMBL1086586,CHEMBL1086586,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118501,CHEMBL1155439,2010,29.0,nM,7.537602002101044,7.54,0.0023979978989556727,unknown,noxious cold,other,,,,,,,human | not_reported | NA | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301160,914709,CHEMBL1086587,CHEMBL1086587,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,CHEMBL1118501,CHEMBL1155439,2010,105.0,nM,6.978810700930062,6.98,0.0011892990699386985,unknown,noxious cold,other,,,,,,,human | not_reported | NA | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301161,914710,CHEMBL1086588,CHEMBL1086588,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL1118501,CHEMBL1155439,2010,28.0,nM,7.552841968657781,7.55,-0.002841968657780747,unknown,noxious cold,other,,,,,,,human | not_reported | NA | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301177,914711,CHEMBL1086589,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL1118734,CHEMBL1155439,2010,1700.0,nM,5.769551078621726,5.77,0.00044892137827368117,unknown,not specified,not specified,,,,,,,human | not_reported | NA | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
3301200,914932,CHEMBL1086339,CHEMBL1086339,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL1118734,CHEMBL1155439,2010,18700.0,nM,4.728158393463501,4.73,0.0018416065364990075,unknown,not specified,not specified,,,,,,,human | not_reported | NA | NA | NA | NA | NA | NA | NA,9,,0,not_reported,not_required,,1,False,True,True,,
