inchikey,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,year_min,year_max,n_documents,n_assays
AADNQPJZRQAMOD-OOHWJJMZSA-N,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,CHEMBL6037240,9.0,9.0,9.0,,1,2019,2019,1,1
AADPNBLFAHYYBS-VXGBXAGGSA-N,O[C@]1(C(F)(F)F)CCCC[C@H]1Nc1cccc(F)c1,CHEMBL5413993,7.2,7.2,7.2,,1,2023,2023,1,1
AAOJDMVYFBSKFT-UHFFFAOYSA-N,CC(C)(C)Nc1c(-c2cccc(C#N)c2)nc2ccc(Cl)cn12,CHEMBL3944269,5.67,5.67,5.67,,1,2016,2016,1,1
AARVTENEMZRJQO-VIZZQPHQSA-N,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2ccnc(-c3cnc(C(F)(F)F)nc3)c2)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4103225,7.49,7.16,7.82,0.4666904755831215,2,2018,2022,2,2
AASDZFLETHTKKS-UHFFFAOYSA-N,CCCCCCc1ccc(-c2csc(NC(=O)Cn3ccc4c3c(=O)n(C)c(=O)n4C)n2)cc1,CHEMBL1946121,5.58,5.58,5.58,,1,2012,2012,1,1
ABOASBRALGFDPQ-GJZGRUSLSA-N,Cn1cnc2ncn(Cc3nn([C@H]4CC[C@H](c5ccccc5)C4)c(=O)o3)c(=O)c21,CHEMBL5953252,6.81,6.81,6.81,,1,2021,2021,1,1
ABQLUKILVQNPKZ-UHFFFAOYSA-N,CCc1cc(NC(=O)Cn2cnc3c2c(=O)n(Cc2cc(C)on2)c(=O)n3C)nc(C(F)(F)F)c1,CHEMBL5812994,5.79,5.79,5.79,,1,2019,2019,1,1
ABYAAFDXQRWTJE-DOTOQJQBSA-N,Cc1ccc(=O)n2ccn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5849460,8.37,8.37,8.37,,1,2020,2020,1,1
ADSGDRJGOSICMK-XJKSGUPXSA-N,O=c1c2cccc(=O)n2cnn1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5806080,8.62,8.62,8.62,,1,2020,2020,1,1
ADVULNQGSUGCCG-KXTWHKPSSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cccc(-c7cccnc7)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL6057953,7.220000000000001,7.11,7.33,0.1555634918610406,2,2020,2020,1,2
AFCFNPKLZQLKPK-APWZRJJASA-N,O=C(NCc1cn(-c2ccc(C(F)(F)F)cc2)nc1Cl)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1ccc(F)cc1,CHEMBL6063051,7.605,7.11,8.1,0.7000357133746818,2,2022,2022,1,1
AGKMZNQCTOWDFF-ZDUSSCGKSA-N,O=C1NCCc2c1sc1ncn(Cc3nc(C[C@H](O)c4ccc(Cl)cc4)no3)c(=O)c21,CHEMBL4848526,8.05,8.05,8.05,0.0,2,2021,2021,2,2
AGPQIQSLJAQASS-GLJUWKHASA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5C=C(c6ccc7ncsc7c6)C[C@@H]54)no3)c(=O)c21,CHEMBL6010659,8.155,7.8,8.51,0.502045814642449,2,2020,2020,1,2
AGXCNAPHYYLCHN-IBGZPJMESA-N,CC(C)n1c(=O)c(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cnccc3o2)cn(-c2ccc(C(F)(F)F)nc2)c1=O,CHEMBL5920363,6.24,6.24,6.24,,1,2020,2020,1,1
AHHGHXFTQVZBPO-UHFFFAOYSA-N,COc1cc2ccnc(Oc3ccc(F)cc3)c2cc1OC,CHEMBL3298322,6.48,6.48,6.48,,1,2014,2014,1,1
AHJAJTHWNBFJBF-YCPHGPKFSA-N,Cn1c(N)nc2ncn(Cc3nc([C@H]4[C@@H]5C=C(c6ccccc6)C[C@@H]54)no3)c(=O)c21,CHEMBL5778028,7.95,7.48,8.42,0.6646803743153543,2,2020,2020,1,2
AIAJJMJAXBVVRD-YABSGUDNSA-N,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6ncccc6F)C[C@@H]54)no3)c(=O)c21,CHEMBL5854314,6.9,6.84,6.96,0.08485281374238547,2,2020,2020,1,2
AIWIRRGSGOLMQX-UHFFFAOYSA-N,Cc1cnc(Cl)c2ncn(Cc3nn(CCc4ccc(Cl)cc4)c(=O)o3)c(=O)c12,CHEMBL5841138,7.75,7.75,7.75,,1,2021,2021,1,1
AIXGIOZVDSOSEU-HWWDLCQESA-N,Nc1ccc2c(=O)n(Cc3nc([C@H]4[C@@H]5CN(c6cccc(F)c6)C[C@@H]54)no3)cnc2n1,CHEMBL5907292,8.19,8.01,8.37,0.2545584412271567,2,2020,2020,1,2
AJFUDTVIKFGQMS-UHFFFAOYSA-N,Fc1cccc(Oc2ncnc3[nH]ccc23)c1F,CHEMBL3298499,5.57,5.57,5.57,,1,2014,2014,1,1
AJGIUAWWWVYNEY-ZDUSSCGKSA-N,CC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3ccc(C(F)(F)F)nc3)n2)n(C)c1=O,CHEMBL5810663,7.68,7.68,7.68,,1,2019,2019,1,1
AKDLWVHAJCEAKD-ZDUSSCGKSA-N,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2cccc(-c3cnc(OC)c(C(F)(F)F)c3)n2)n(C)c1=O,CHEMBL5992488,9.0,9.0,9.0,,1,2019,2019,1,1
AKQMAZGMANPFFK-GOSISDBHSA-N,CC(C)N(CC(=O)NC[C@H]1CCCN(c2ccc(C(F)(F)F)cc2)C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL4110915,6.3,6.3,6.3,,1,2016,2016,1,1
AKQMAZGMANPFFK-SFHVURJKSA-N,CC(C)N(CC(=O)NC[C@@H]1CCCN(c2ccc(C(F)(F)F)cc2)C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL3908709,6.51,6.51,6.51,,1,2016,2016,1,1
AKQMAZGMANPFFK-UHFFFAOYSA-N,CC(C)N(CC(=O)NCC1CCCN(c2ccc(C(F)(F)F)cc2)C1)S(=O)(=O)c1ccc(F)cc1,CHEMBL3890809,6.63,6.63,6.63,,1,2016,2016,1,1
