activity_id,assay_chembl_id,assay_type,canonical_smiles,data_validity_comment,document_chembl_id,document_year,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,std_smiles,inchikey
3088817,CHEMBL1049520,F,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,,CHEMBL1153159,2010,CHEMBL593902,5.55,=,=,IC50,nM,2800.0,IC50,uM,2.8,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,MHTJEUOFLVQMCL-NJHPPEEMSA-N
3088818,CHEMBL1049520,F,CC(=C\c1ccccc1)/C(C)=N/O,,CHEMBL1153159,2010,CHEMBL603735,5.57,=,=,IC50,nM,2700.0,IC50,uM,2.7,CC(=C\c1ccccc1)/C(C)=N/O,RPCAQDVUXPFSNA-CDKJVOIVSA-N
3301150,CHEMBL1118499,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,,CHEMBL1155439,2010,CHEMBL1086371,7.68,=,=,IC50,nM,21.0,IC50,nM,21.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,NOXDIPWNQOTUAB-UHFFFAOYSA-N
3301151,CHEMBL1118499,F,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086586,7.04,=,=,IC50,nM,91.0,IC50,nM,91.0,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,MRIRDTYIRGDISF-UHFFFAOYSA-N
3301152,CHEMBL1118499,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,,CHEMBL1155439,2010,CHEMBL1086587,7.46,=,=,IC50,nM,35.0,IC50,nM,35.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,DNTIPHKVCXUYRM-UHFFFAOYSA-N
3301153,CHEMBL1118499,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,,CHEMBL1155439,2010,CHEMBL1086588,7.29,=,=,IC50,nM,51.0,IC50,nM,51.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,APLQHKFABMHWHP-UHFFFAOYSA-N
3301154,CHEMBL1118500,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,,CHEMBL1155439,2010,CHEMBL1086371,6.92,=,=,IC50,nM,120.0,IC50,nM,120.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,NOXDIPWNQOTUAB-UHFFFAOYSA-N
3301155,CHEMBL1118500,F,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086586,6.58,=,=,IC50,nM,260.0,IC50,nM,260.0,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,MRIRDTYIRGDISF-UHFFFAOYSA-N
3301156,CHEMBL1118500,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,,CHEMBL1155439,2010,CHEMBL1086587,6.78,=,=,IC50,nM,167.0,IC50,nM,167.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,DNTIPHKVCXUYRM-UHFFFAOYSA-N
3301157,CHEMBL1118500,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,,CHEMBL1155439,2010,CHEMBL1086588,6.6,=,=,IC50,nM,252.0,IC50,nM,252.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,APLQHKFABMHWHP-UHFFFAOYSA-N
3301158,CHEMBL1118501,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,,CHEMBL1155439,2010,CHEMBL1086371,8.15,=,=,IC50,nM,7.0,IC50,nM,7.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,NOXDIPWNQOTUAB-UHFFFAOYSA-N
3301159,CHEMBL1118501,F,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086586,7.54,=,=,IC50,nM,29.0,IC50,nM,29.0,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,MRIRDTYIRGDISF-UHFFFAOYSA-N
3301160,CHEMBL1118501,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,,CHEMBL1155439,2010,CHEMBL1086587,6.98,=,=,IC50,nM,105.0,IC50,nM,105.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,DNTIPHKVCXUYRM-UHFFFAOYSA-N
3301161,CHEMBL1118501,F,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,,CHEMBL1155439,2010,CHEMBL1086588,7.55,=,=,IC50,nM,28.0,IC50,nM,28.0,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,APLQHKFABMHWHP-UHFFFAOYSA-N
3301164,CHEMBL1118499,F,CC(=O)SC(NC(=O)c1ccc(Cl)cc1)C(Cl)(Cl)Cl,,CHEMBL1155439,2010,CHEMBL1085104,5.96,=,=,IC50,nM,1100.0,IC50,uM,1.1,CC(=O)SC(NC(=O)c1ccc(Cl)cc1)C(Cl)(Cl)Cl,SSONTNYBPYRIPQ-UHFFFAOYSA-N
3301165,CHEMBL1118499,F,Cc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1084857,5.85,=,=,IC50,nM,1400.0,IC50,uM,1.4,Cc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,OCAGWVPJUUSEHZ-UHFFFAOYSA-N
3301175,CHEMBL1118499,F,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086589,5.7,=,=,IC50,nM,2000.0,IC50,uM,2.0,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,XFAKQJSOOQVAHX-UHFFFAOYSA-N
3301176,CHEMBL1118233,F,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086589,6.07,=,=,IC50,nM,850.0,IC50,uM,0.85,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,XFAKQJSOOQVAHX-UHFFFAOYSA-N
3301177,CHEMBL1118734,F,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086589,5.77,=,=,IC50,nM,1700.0,IC50,uM,1.7,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,XFAKQJSOOQVAHX-UHFFFAOYSA-N
3301178,CHEMBL1118735,F,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086589,5.6,=,=,IC50,nM,2500.0,IC50,uM,2.5,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,XFAKQJSOOQVAHX-UHFFFAOYSA-N
3301179,CHEMBL1118736,F,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086589,6.44,=,=,IC50,nM,360.0,IC50,uM,0.36,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,XFAKQJSOOQVAHX-UHFFFAOYSA-N
3301180,CHEMBL1118737,F,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,,CHEMBL1155439,2010,CHEMBL1086589,6.25,=,=,IC50,nM,560.0,IC50,uM,0.56,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,XFAKQJSOOQVAHX-UHFFFAOYSA-N
3301189,CHEMBL1118499,F,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086310,5.21,=,=,IC50,nM,6200.0,IC50,uM,6.2,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HEQDZPHDVAOBLN-UHFFFAOYSA-N
3301190,CHEMBL1118738,F,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086310,5.28,=,=,IC50,nM,5300.0,IC50,uM,5.3,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HEQDZPHDVAOBLN-UHFFFAOYSA-N
3301191,CHEMBL1118739,F,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086310,5.31,=,=,IC50,nM,4900.0,IC50,uM,4.9,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HEQDZPHDVAOBLN-UHFFFAOYSA-N
3301192,CHEMBL1118740,F,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086310,5.12,=,=,IC50,nM,7500.0,IC50,uM,7.5,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HEQDZPHDVAOBLN-UHFFFAOYSA-N
3301193,CHEMBL1118234,F,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086310,5.75,=,=,IC50,nM,1800.0,IC50,uM,1.8,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HEQDZPHDVAOBLN-UHFFFAOYSA-N
3301200,CHEMBL1118734,F,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086339,4.73,=,=,IC50,nM,18700.0,IC50,uM,18.7,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,ZUTUWJYMCADJHD-UHFFFAOYSA-N
3301201,CHEMBL1118499,F,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,,CHEMBL1155439,2010,CHEMBL1086339,4.84,=,=,IC50,nM,14300.0,IC50,uM,14.3,CCC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,ZUTUWJYMCADJHD-UHFFFAOYSA-N
3301220,CHEMBL1118227,F,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2C1=O,,CHEMBL1155439,2010,CHEMBL1085863,6.3,=,=,IC50,nM,500.0,IC50,nM,500.0,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2C1=O,PLCMBEBJCVWYCS-UHFFFAOYSA-N
