molecule_chembl_id,canonical_smiles,std_smiles,inchikey,mw
CHEMBL267913,C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1,C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1,VFUUEBWDCNNJEJ-OPBBSMSLSA-N,328.4960000000001
CHEMBL8939,CNc1ccc(Cl)cc1C(=O)c1cc(OC)c(OC)c(OC)c1,CNc1ccc(Cl)cc1C(=O)c1cc(OC)c(OC)c(OC)c1,RHYSABVJUQRRBF-UHFFFAOYSA-N,335.7870000000001
CHEMBL9309,COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1,COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1,RRSJEIUTQBBKNE-UHFFFAOYSA-N,317.34100000000007
CHEMBL8359,C=CCC1Oc2cccc(OCC3CC3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,C=CCC1Oc2cccc(OCC3CC3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,SIDMSDWMVNNYDB-UHFFFAOYSA-N,387.5230000000001
CHEMBL268040,CC(=O)OC1C(=O)OC[C@]23CC[C@@]4(C)O[C@H]4[C@H]2O[C@@H]2C[C@@H](OC(=O)/C=C\C=C\C(=O)OCCC1C)[C@@]3(C)C21CO1,CC(=O)OC1C(=O)OC[C@]23CC[C@@]4(C)O[C@H]4[C@H]2O[C@@H]2C[C@@H](OC(=O)/C=C\C=C\C(=O)OCCC1C)[C@@]3(C)C21CO1,JDFKYDYICWYZMF-RHADHMLCSA-N,560.5960000000002
CHEMBL266798,Cc1ccc(Sc2nccc3sc(C(N)=O)cc23)cc1,Cc1ccc(Sc2nccc3sc(C(N)=O)cc23)cc1,JFLJTGZONHVXKC-UHFFFAOYSA-N,300.408
CHEMBL268142,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CC#N)OCO3,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CC#N)OCO3,WDZUIJUSJQYJTA-UHFFFAOYSA-N,362.3890000000002
CHEMBL267218,Nc1nc(N)c2cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1,Nc1nc(N)c2cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1,REPIJAKNLUZSTN-UHFFFAOYSA-N,333.30400000000003
CHEMBL8172,O=C1Nc2cc(C(F)(F)F)ccc2C1(F)c1ccccc1,O=C1Nc2cc(C(F)(F)F)ccc2C1(F)c1ccccc1,XUDCIPZOHCCBGV-UHFFFAOYSA-N,295.23499999999996
CHEMBL268632,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1.[Na+],CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1,ITFVZKLBKASFHP-NYXMJBRJSA-M,377.3540000000001
CHEMBL267680,Cc1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)C,Cc1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)C,PFVDZQMVHYQJMT-UHFFFAOYSA-N,348.4680000000001
CHEMBL275685,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(N)=N2,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(N)=N2,WZXJTHFFHJIZNA-UHFFFAOYSA-N,427.52900000000017
CHEMBL8191,Oc1cccc(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1O,Oc1cccc(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1O,YSINYTWRJZQLMC-UHFFFAOYSA-N,498.27899999999994
