molecule_chembl_id,canonical_smiles
CHEMBL267913,C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1CC[C@@H]2OC1CC1
CHEMBL8939,CNc1ccc(Cl)cc1C(=O)c1cc(OC)c(OC)c(OC)c1
CHEMBL9309,COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1
CHEMBL8359,C=CCC1Oc2cccc(OCC3CC3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
CHEMBL268040,CC(=O)OC1C(=O)OC[C@]23CC[C@@]4(C)O[C@H]4[C@H]2O[C@@H]2C[C@@H](OC(=O)/C=C\C=C\C(=O)OCCC1C)[C@@]3(C)C21CO1
CHEMBL266798,Cc1ccc(Sc2nccc3sc(C(N)=O)cc23)cc1
CHEMBL268142,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CC#N)OCO3
CHEMBL267218,Nc1nc(N)c2cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1
CHEMBL8172,O=C1Nc2cc(C(F)(F)F)ccc2C1(F)c1ccccc1
CHEMBL268632,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S(=O)(=O)C1.[Na+]
CHEMBL267680,Cc1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)C
CHEMBL275685,CN(Cc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c3c(cccc13)C(N)=N2
CHEMBL8191,Oc1cccc(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1O
CHEMBL9344,OCC1OC(n2cnc3c(O)ncnc32)CC(O)C1O
CHEMBL8769,CC(=O)Nc1ccc(/C=C/c2ccc(C#N)cc2)cc1
CHEMBL273971,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccccc4)[C@H](O)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
CHEMBL8594,CC(C)(C)c1cc(C(=O)/C=C/c2ccsc2)cc(C(C)(C)C)c1O
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1
CHEMBL9637,Oc1ccc(/N=C(\S)Nc2ccc(O)cc2)cc1
CHEMBL7203,CCC(c1ccc(O)cc1)C(CCCl)c1ccc(O)cc1
CHEMBL269064,NC(=O)C[C@H](NC(=O)c1ccccc1Br)C(=O)O
CHEMBL274877,Cc1ccc(C(=O)NCC(=O)O)cc1
CHEMBL6391,Cc1c(CC(C)N)ccc2c1OCO2
CHEMBL6357,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccn2)cc1
CHEMBL8808,CC(C)Nc1ccc2c(c1)CC(N)(C(=O)O)CC2
CHEMBL9728,CCN(Cc1ccc(S(=O)(=O)N2CCNCC2)cc1)c1ccc2c3c(cccc13)C(=O)N2
CHEMBL404992,CCCN1CCN2CC(c3ccccc3)c3ccccc3C2C1
CHEMBL8278,CCCC(=O)Nc1ccccc1Oc1cccc(OC)c1
CHEMBL7167,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(/C(=C/Cn2oc(=O)[nH]c2=O)C(C)(C)C)c1
CHEMBL7637,CCCC(=O)Nc1ccc(S(=O)(=O)c2cccc(OC)c2)cc1
CHEMBL7617,CN1CCN(C2=Cc3ccccc3Cc3ccc(Cl)cc32)CC1
CHEMBL9757,CC1CCOC(=O)/C=C/C=C\C(=O)O[C@@H]2C[C@H]3O[C@@H]4C[C@@H](C)[C@@H](O)C[C@]4(COC(=O)C1O)[C@]2(C)C31CO1
CHEMBL266221,C1=NCCc2c1[nH]c1ccccc21
CHEMBL6334,c1cc(CN2CCN(C[C@@H]3CCCN3)CC2)ccn1
