inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
AGEZXYOZHKGVCM-UHFFFAOYSA-N,EC50,BrCc1ccccc1,CHEMBL1085946,4.92,4.92,4.92,,1,B,2010,2010,c1ccccc1,train
AHJNMNSNBVWKDQ-PEGOPYGQSA-N,EC50,COc1ccc(/C=C(C)/C(C)=N/O)cc1,CHEMBL594133,4.34,4.34,4.34,,1,F,2010,2010,c1ccccc1,train
AKQHDWUSOSICGI-FOWTUZBSSA-N,EC50,CCC(CC)CN1C(=O)/C(=C/C(=O)N2CCOCC2)c2cccc(F)c21,CHEMBL1083493,5.89,5.89,5.89,,1,F,2010,2010,O=C1Nc2ccccc2C1=CC(=O)N1CCOCC1,val
AMDMXQGFNNEHFL-XYOKQWHBSA-N,EC50,O=C(O)/C=C1/C(=O)N(CC2CCCC2)c2c(F)cccc21,CHEMBL1084103,6.29,6.29,6.29,,1,F,2010,2010,C=C1C(=O)N(CC2CCCC2)c2ccccc21,train
ATKWJXUJUNLTFU-UHFFFAOYSA-N,EC50,Oc1ccc(CN=C=S)cc1,CHEMBL3593946,4.7,4.7,4.7,,1,B,2015,2015,c1ccccc1,train
AUZONCFQVSMFAP-UHFFFAOYSA-N,EC50,CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,5.52,5.52,5.52,,1,F,2010,2010,,train
AVRFPRAAVSCSSZ-YPENQOSPSA-N,EC50,CC[C@H]1C[C@H]2CN3CC[C@@]4(O)C(=Nc5ccc(OC)cc54)[C@](C(=O)OC)(C2)[C@H]13,CHEMBL3325766,4.5,4.5,4.5,,1,B,2014,2014,c1ccc2c(c1)N=C1C2CCN2CC3CCC2C1C3,val
AVTQSDUNQOANPK-MCJWARNPSA-N,EC50,CC1(C)CCC[C@]2(C)[C@@H](CC/C=C(/C=O)CC=O)[C@@H](C=O)CC[C@@H]12,CHEMBL1085849,6.89,6.89,6.89,,1,F,2010,2010,C1CCC2CCCCC2C1,val
AZFGUVZZYKNBOI-UHFFFAOYSA-N,EC50,O=NN1C2c3ccccc3C1C(C(F)(F)F)C2C(F)(F)F,CHEMBL1766307,5.25,5.25,5.25,,1,B,2023,2023,c1ccc2c(c1)C1CCC2N1,val
AZJUJOFIHHNCSV-KCQAQPDRSA-N,EC50,CC1(C)CCC[C@]2(C)[C@@H](C=O)C(C=O)=CC[C@@H]12,CHEMBL254550,7.23,7.23,7.23,,1,F,2010,2010,C1=CCC2CCCCC2C1,val
BGKHCLZFGPIKKU-LDDQNKHRSA-N,EC50,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,CHEMBL1084644,4.82,4.82,4.82,,1,B,2010,2010,O=C1C=CCC1,train
BIRMMOKEXDRBDP-ULBORTECSA-N,EC50,CC(/C=N/O)=C\c1ccc(Cl)cc1,CHEMBL589873,4.16,4.16,4.16,,1,F,2010,2010,c1ccccc1,train
BJCDGEPFKSLHPU-UHFFFAOYSA-N,EC50,O=C(Oc1cccc(-c2ccccc2)c1)N1CCN(c2ncccc2C(F)(F)F)CC1,CHEMBL1081905,6.0,6.0,6.0,,1,F,2009,2009,O=C(Oc1cccc(-c2ccccc2)c1)N1CCN(c2ccccn2)CC1,val
BOPIMTNSYWYZOC-VNHYZAJKSA-N,EC50,C=C1CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12,CHEMBL88244,4.48,4.48,4.48,,1,B,2018,2018,C=C1CCCC2CCCCC12,val
BVEAHESOVROLIT-UHFFFAOYSA-N,EC50,COC(=O)c1cccc2c1C=Nc1ccccc1C2,CHEMBL1255994,7.51,7.51,7.51,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
BYUCJIDUOZDIRZ-UHFFFAOYSA-N,EC50,O=C(NCc1ccccc1)c1cnc(N2CCN(C(=O)c3c(F)cccc3F)CC2)nc1NC1CC1,CHEMBL1818214,7.57,7.57,7.57,,1,F,2011,2011,O=C(NCc1ccccc1)c1cnc(N2CCN(C(=O)c3ccccc3)CC2)nc1NC1CC1,val
CAGGJQMNJSBPME-UHFFFAOYSA-N,EC50,CC(C)(C)c1cccc(OC(=O)N2CCN(c3ncccc3Cl)CC2)c1,CHEMBL1080806,5.75,5.75,5.75,,1,F,2009,2009,O=C(Oc1ccccc1)N1CCN(c2ccccn2)CC1,train
CKFHKAAQJAGUBZ-UHFFFAOYSA-N,EC50,C=CCc1cc(OC)c(OC(C)C(OCC)c2ccc(O)c(OC)c2)c(OC)c1,CHEMBL4069984,4.72,4.72,4.72,,1,B,2017,2017,c1ccc(CCOc2ccccc2)cc1,val
CKQMTXLABQTGQB-DHZHZOJOSA-N,EC50,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1,CHEMBL1079664,4.305,4.3,4.31,0.0070710678118653,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
CMKFQVZJOWHHDV-NQZBTDCJSA-N,EC50,CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,CHEMBL2163793,5.05,5.05,5.05,,1,B,2014,2014,C1=CC2C3CC1CN2CCc1c3[nH]c2ccccc12,val
CQOAKBVRRVHWKV-SAPNQHFASA-N,EC50,CCCCCCCC/C=C(\CCCCCCCC(=O)O)[N+](=O)[O-],CHEMBL550762,6.0,6.0,6.0,,1,F,2010,2010,,train
CSJDNRAXVMHIOO-UHFFFAOYSA-N,EC50,O=C(O)c1cccc2c1Cc1ccccc1N=C2,CHEMBL1256310,6.61,6.61,6.61,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
CSPTZWQFHBVOLO-CCEZHUSRSA-N,EC50,O=C(O)c1ccc(/N=N/c2ccccc2)cc1,CHEMBL273753,4.61,4.61,4.61,,1,B,2021,2021,c1ccc(N=Nc2ccccc2)cc1,val
CZKBLHCEDVWPRN-JXMROGBWSA-N,EC50,CC(=O)/C=C1/C(=O)N(C)c2ccccc21,CHEMBL402589,6.1,6.1,6.1,0.0,2,"B,F",2007,2010,C=C1C(=O)Nc2ccccc21,train
DBISBKDNOKIADM-UHFFFAOYSA-N,EC50,C=CCCCN=C=S,CHEMBL3593943,6.27,6.27,6.27,,1,B,2015,2015,,train
DCOPUUMXTXDBNB-UHFFFAOYSA-N,EC50,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CHEMBL139,4.225,4.2,4.25,0.0353553390593275,2,B,2019,2019,c1ccc(Nc2ccccc2)cc1,train
DMZSZNRDBBJTNH-UHFFFAOYSA-N,EC50,Oc1ccc2c(c1)Oc1ccccc1N=C2,CHEMBL1256339,8.68,8.68,8.68,,1,F,2010,2010,C1=Nc2ccccc2Oc2ccccc21,train
DRBIJLJBIZNBSI-HNNXBMFYSA-N,EC50,COc1cccc([C@@H]2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1939829,4.92,4.92,4.92,,1,F,2012,2012,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,train
DRBIJLJBIZNBSI-OAHLLOKOSA-N,EC50,COc1cccc([C@H]2NC(=S)NC3=C2C(=O)c2ccccc23)c1,CHEMBL1939828,8.0,8.0,8.0,,1,F,2012,2012,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,train
DTCCTIQRPGSLPT-ONEGZZNKSA-N,EC50,CC/C=C/C=O,CHEMBL256368,5.3,5.3,5.3,0.0,2,B,2007,2010,,train
DVKJHBMWWAPEIU-UHFFFAOYSA-N,EC50,Cc1ccc(N=C=O)cc1N=C=O,CHEMBL1086446,5.0,5.0,5.0,,1,F,2010,2010,c1ccccc1,train
FGCXWJVMYQZREN-UHFFFAOYSA-N,EC50,COC(=O)c1ccc2c(c1)Cc1ccccc1C=N2,CHEMBL1085103,9.32,9.24,9.4,0.1131370849898477,2,"B,F",2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
FICCUPYHHFFCIM-JXMROGBWSA-N,EC50,O=C(/C=C/c1ccc(Cl)cc1)Nc1ccccc1C(=O)O,CHEMBL4456015,5.0,5.0,5.0,0.0,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
FOGAWBUMVPNTRU-UKTHLTGXSA-N,EC50,O=C(O)/C=C1/C(=O)N(CC2CCCC2)c2ccccc21,CHEMBL1086096,5.52,5.52,5.52,,1,F,2010,2010,C=C1C(=O)N(CC2CCCC2)c2ccccc21,train
GAMRBCZMOOMBSQ-CCEZHUSRSA-N,EC50,CCCCCc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1,CHEMBL173443,4.55,4.55,4.55,0.0,2,B,2019,2019,O=C(C=Cc1ccccc1)Nc1ccccc1,train
GFNMKESSHVFPQM-UHFFFAOYSA-N,EC50,Clc1cnc(CNc2cc3sncc3cc2Cl)s1,CHEMBL4863993,5.5,5.5,5.5,,1,B,2021,2021,c1csc(CNc2ccc3cnsc3c2)n1,train
GFNPFAVLEASBJZ-UHFFFAOYSA-N,EC50,Clc1cnc(CNc2ccc3sncc3c2)s1,CHEMBL4849726,5.5,5.5,5.5,,1,B,2021,2021,c1csc(CNc2ccc3sncc3c2)n1,val
GNKNBXBGURAWRO-XNTDXEJSSA-N,EC50,COC(=O)c1cccc(CN2C(=O)/C(=C/C(N)=O)c3ccccc32)c1,CHEMBL1086559,5.92,5.92,5.92,,1,F,2010,2010,C=C1C(=O)N(Cc2ccccc2)c2ccccc21,train
GNWWFEVBHYESNK-XGGJEREUSA-N,EC50,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSCC(=O)O,CHEMBL1085358,4.05,4.05,4.05,,1,F,2010,2010,,train
GOMATZWZDPFPIR-SNAWJCMRSA-N,EC50,COc1cc(/C=C/C=O)ccc1OCC=C(C)C,CHEMBL2022666,5.01,5.01,5.01,,1,B,2016,2016,c1ccccc1,train
GPPVVEBKNSUIIE-UHFFFAOYSA-N,EC50,COCCCNC(=O)c1cccc2c1Cc1ccccc1N=C2,CHEMBL1258324,8.11,8.11,8.11,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
GTKFXVHBLFFFED-UHFFFAOYSA-N,EC50,COC(=O)c1ccc2c(c1)N=Cc1ccccc1C2,CHEMBL1255996,7.72,7.72,7.72,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
GUEWKXBGUZVNEZ-UHFFFAOYSA-N,EC50,O=C(Oc1cccc(C(F)(F)F)c1)N1CCN(c2ncccc2Cl)CC1,CHEMBL1080129,5.7,5.7,5.7,,1,F,2009,2009,O=C(Oc1ccccc1)N1CCN(c2ccccn2)CC1,train
GWWUENUGPVDAGL-UHFFFAOYSA-N,EC50,Brc1cccc2c1Cc1ccccc1N=C2,CHEMBL1256161,8.46,8.46,8.46,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
HBVIMVJTUQNSEP-UHFFFAOYSA-N,EC50,CSCCCCCN=C=S,CHEMBL3593947,6.3,6.3,6.3,,1,B,2015,2015,,train
HCZKYJDFEPMADG-UHFFFAOYSA-N,EC50,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,CHEMBL52,4.46,4.45,5.31,0.4936598018878989,3,B,2019,2019,c1ccc(CCCCc2ccccc2)cc1,val
HFLGBNBLMBSXEM-UHFFFAOYSA-N,EC50,CCc1ccc(O)c(O)c1,CHEMBL1276241,5.06,5.06,5.06,,1,B,2021,2021,c1ccccc1,train
HGINCPLSRVDWNT-UHFFFAOYSA-N,EC50,C=CC=O,CHEMBL721,5.3,4.57,6.1,0.6361367777451635,5,B,2007,2019,,train
HOEAQVHRGYIZEL-UHFFFAOYSA-N,EC50,COC(=O)c1cccc2c1Cc1ccccc1C=N2,CHEMBL1084639,9.23,9.22,9.24,0.0141421356237306,2,"B,F",2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
HVMJQIUPXKXGJP-UHFFFAOYSA-N,EC50,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1NC1CC1,CHEMBL1818217,6.96,6.96,6.96,,1,F,2011,2011,O=C(NCc1ccccc1)c1cnc(N2CCN(CC3CCCOC3)CC2)nc1NC1CC1,val
HWZFHUYQKFAWSQ-UHFFFAOYSA-N,EC50,CCN(CC)C(=O)c1cccc2c1Cc1ccccc1N=C2,CHEMBL1258325,7.4,7.4,7.4,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
HYUGHPDIXXDVLK-FMIVXFBMSA-N,EC50,C#CCN1C(=O)/C(=C/C(C)=O)c2ccccc21,CHEMBL258455,7.0,7.0,7.0,0.0,2,"B,F",2007,2010,C=C1C(=O)Nc2ccccc21,train
HYYBABOKPJLUIN-UHFFFAOYSA-N,EC50,Cc1cccc(Nc2ccccc2C(=O)O)c1C,CHEMBL686,4.78,4.21,4.8,0.3350124375800596,3,B,2019,2019,c1ccc(Nc2ccccc2)cc1,train
HZBVCRHOVMWXFJ-UHFFFAOYSA-N,EC50,O=C(Oc1ccc(Cl)cc1)N1CCN(c2ncccc2Cl)CC1,CHEMBL1076350,6.22,6.22,6.22,0.0,2,F,2009,2010,O=C(Oc1ccccc1)N1CCN(c2ccccn2)CC1,train
HZLVLMGNMOJBHS-UHFFFAOYSA-N,EC50,CC(C)CNc1nc(N2CCN(Cc3ccccc3)CC2)ncc1C(=O)NCc1ccccc1,CHEMBL1818209,7.1,7.1,7.1,,1,F,2011,2011,O=C(NCc1ccccc1)c1cnc(N2CCN(Cc3ccccc3)CC2)nc1,val
ICOQJKBDQZBIAX-UHFFFAOYSA-N,EC50,COC(=O)c1ccc2c(c1)C=Nc1ccccc1C2,CHEMBL1255904,7.0,7.0,7.0,,1,F,2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
IDWNSAXOQLJYOF-UHFFFAOYSA-N,EC50,C1=Nc2ccccc2Cc2ccccc21,CHEMBL1085101,8.52,8.52,8.52,0.0,2,"B,F",2010,2010,C1=Nc2ccccc2Cc2ccccc21,train
IFAKEEVLFSLZPW-UHFFFAOYSA-N,EC50,Clc1cnc(CNc2ccc3cnsc3c2)s1,CHEMBL4854482,5.2,5.2,5.2,,1,B,2021,2021,c1csc(CNc2ccc3cnsc3c2)n1,train
IHQDGXUYTSZGOG-UHFFFAOYSA-N,EC50,CSCCCCN=C=S,CHEMBL2151143,6.38,6.38,6.38,,1,B,2015,2015,,train
IMACFCSSMIZSPP-UHFFFAOYSA-N,EC50,O=C(CCl)c1ccccc1,CHEMBL105712,7.52,7.52,7.52,,1,F,2010,2010,c1ccccc1,train
INVGWHRKADIJHF-UHFFFAOYSA-N,EC50,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,CHEMBL417799,7.225,7.05,7.4,0.2474873734152923,2,B,2023,2025,c1cc2c(c[nH+]c3c4cc5c(cc4ccc23)OCO5)c2c1OCO2,val
IQVQXVFMNOFTMU-FLIBITNWSA-N,EC50,CCC/C=C1\OC(=O)C2=C1CCC=C2,CHEMBL481246,4.36,4.36,4.36,,1,B,2013,2013,C=C1OC(=O)C2=C1CCC=C2,val
IZJDOKYDEWTZSO-UHFFFAOYSA-N,EC50,S=C=NCCc1ccccc1,CHEMBL151649,5.715,5.0,6.43,1.0111626970967629,2,B,2010,2015,c1ccccc1,train
JAWSBANLAJSGJJ-UHFFFAOYSA-N,EC50,O=C(Oc1ccc(C(F)(F)F)cc1)N1CCN(c2ncccc2Cl)CC1,CHEMBL1080807,5.51,5.51,5.51,,1,F,2009,2009,O=C(Oc1ccccc1)N1CCN(c2ccccn2)CC1,train
JDLKFOPOAOFWQN-UHFFFAOYSA-N,EC50,C=CCS[S+]([O-])CC=C,CHEMBL359965,5.72,5.72,5.72,,1,B,2010,2010,,train
JJNZXLAFIPKXIG-UHFFFAOYSA-N,EC50,N#CC(C#N)=Cc1ccccc1Cl,CHEMBL1256101,9.05,9.05,9.05,,1,F,2010,2010,c1ccccc1,train
