inchikey,standard_type,std_smiles,molecule_chembl_id,pchembl_median,pchembl_min,pchembl_max,pchembl_std,n_measurements,assay_types,year_min,year_max,scaffold,split
AADNQPJZRQAMOD-OOHWJJMZSA-N,IC50,CCC(=O)Cn1c(=O)c2c(ncn2[C@@H](C)C(=O)Nc2csc(-c3ccc(N4CC5CC5C4)nc3)n2)n(C)c1=O,CHEMBL6037240,9.0,9.0,9.0,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2ccc(N3CC4CC4C3)nc2)n1,train
AADPNBLFAHYYBS-VXGBXAGGSA-N,IC50,O[C@]1(C(F)(F)F)CCCC[C@H]1Nc1cccc(F)c1,CHEMBL5413993,7.2,7.2,7.2,,1,B,2023,2023,c1ccc(NC2CCCCC2)cc1,train
AAOJDMVYFBSKFT-UHFFFAOYSA-N,IC50,CC(C)(C)Nc1c(-c2cccc(C#N)c2)nc2ccc(Cl)cn12,CHEMBL3944269,5.67,5.67,5.67,,1,B,2016,2016,c1ccc(-c2cn3ccccc3n2)cc1,train
AARVTENEMZRJQO-VIZZQPHQSA-N,IC50,C[C@H]1[C@H](F)C[C@@H](C(=O)NCc2ccnc(-c3cnc(C(F)(F)F)nc3)c2)N1S(=O)(=O)c1ccc(F)cc1,CHEMBL4103225,7.49,7.16,7.82,0.4666904755831215,2,B,2018,2022,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,train
AASDZFLETHTKKS-UHFFFAOYSA-N,IC50,CCCCCCc1ccc(-c2csc(NC(=O)Cn3ccc4c3c(=O)n(C)c(=O)n4C)n2)cc1,CHEMBL1946121,5.58,5.58,5.58,,1,F,2012,2012,O=C(Cn1ccc2[nH]c(=O)[nH]c(=O)c21)Nc1nc(-c2ccccc2)cs1,train
ABOASBRALGFDPQ-GJZGRUSLSA-N,IC50,Cn1cnc2ncn(Cc3nn([C@H]4CC[C@H](c5ccccc5)C4)c(=O)o3)c(=O)c21,CHEMBL5953252,6.81,6.81,6.81,,1,B,2021,2021,O=c1c2[nH]cnc2ncn1Cc1nn(C2CCC(c3ccccc3)C2)c(=O)o1,train
ABQLUKILVQNPKZ-UHFFFAOYSA-N,IC50,CCc1cc(NC(=O)Cn2cnc3c2c(=O)n(Cc2cc(C)on2)c(=O)n3C)nc(C(F)(F)F)c1,CHEMBL5812994,5.79,5.79,5.79,,1,B,2019,2019,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1ccccn1,train
ABYAAFDXQRWTJE-DOTOQJQBSA-N,IC50,Cc1ccc(=O)n2ccn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c12,CHEMBL5849460,8.37,8.37,8.37,,1,B,2020,2020,O=c1c2cccc(=O)n2ccn1Cc1nc(C2COC(c3ccccc3)C2)no1,train
ADSGDRJGOSICMK-XJKSGUPXSA-N,IC50,O=c1c2cccc(=O)n2cnn1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1,CHEMBL5806080,8.62,8.62,8.62,,1,B,2020,2020,O=c1c2cccc(=O)n2cnn1Cc1nc(C2COC(c3ccccc3)C2)no1,val
ADVULNQGSUGCCG-KXTWHKPSSA-N,IC50,Cn1cnc2ncn(Cc3nc([C@H]4[C@@H]5CN(c6cccc(-c7cccnc7)c6)C[C@@H]54)no3)c(=O)c21,CHEMBL6057953,7.220000000000001,7.11,7.33,0.1555634918610406,2,B,2020,2020,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(-c5cccnc5)c4)CC32)no1,val
