activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
3088819,CHEMBL1049520,CHEMBL1153159,CHEMBL589871,CC(/C=C/c1ccc(Cl)cc1)=N\O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088820,CHEMBL1049520,CHEMBL1153159,CHEMBL589873,CC(/C=N/O)=C\c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088821,CHEMBL1049520,CHEMBL1153159,CHEMBL589874,O/N=C/C=C/c1ccccc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088822,CHEMBL1049520,CHEMBL1153159,CHEMBL590847,CC(/C=C/c1ccc2c(c1)OCO2)=N\O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088823,CHEMBL1049520,CHEMBL1153159,CHEMBL590118,CC(/C=N/O)=C\c1ccc(C(C)(C)C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088824,CHEMBL1049520,CHEMBL1153159,CHEMBL590119,NC(/C=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1)=N\O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3301233,CHEMBL1118226,CHEMBL1155439,CHEMBL1084373,CCC(=N\O)/C(C)=C/c1ccc(C)nc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301234,CHEMBL1118226,CHEMBL1155439,CHEMBL1084374,CCC(=N\O)/C(C)=C/c1cnc2ccccc2c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301235,CHEMBL1118226,CHEMBL1155439,CHEMBL1083489,CCC(=N\O)/C(C)=C/c1cnccc1C,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301236,CHEMBL1118226,CHEMBL1155439,CHEMBL1083792,CCC(=N\O)/C(C)=C/c1ccc(C(F)(F)F)nc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
