model,scope,metric,n_molecules,n_scaffolds,rho,p_value,ci_low,ci_high,partial_rho_controlling_potency_and_count,p_holm
RF + Morgan-2048,different_assays,range,393,164,0.1272622633079355,0.011566050446484644,0.0013545907945915422,0.25567795986010317,0.07115385143445677,0.046264201785938576
RF + Morgan-2048,different_assays,sd,393,164,0.11523270101661841,0.02232816809052265,-0.007857571025216073,0.24151167546571028,0.07493913101896789,0.06698450427156795
RF + Morgan-2048,different_assays,mad,393,164,0.08001281068350904,0.11326664520921384,-0.04273125259415955,0.20045131635159136,0.06649304110154179,0.11326664520921384
RF + Morgan-2048,different_assays,mpad,393,164,0.10429348415981178,0.038772731984610787,-0.02003995356498951,0.23069450285130466,0.0748695778531351,0.07754546396922157
RF + Morgan-2048,different_documents,range,52,28,0.34748180246832,0.011602559327504374,0.06321223107627832,0.6069784520154157,0.3392120757398641,0.046406352533909755
RF + Morgan-2048,different_documents,sd,52,28,0.33462542530066935,0.015320497108484063,0.036792682293692223,0.6062298309209034,0.32306925053884855,0.046406352533909755
RF + Morgan-2048,different_documents,mad,52,28,0.34748559819578184,0.011601588133477439,0.03326869513894264,0.6317806408942094,0.3419396049436646,0.046406352533909755
RF + Morgan-2048,different_documents,mpad,52,28,0.3201507628951326,0.020679477565286118,0.008284243376651753,0.5951052802210693,0.3093379967179984,0.046406352533909755
XGB + Morgan-2048,different_assays,range,393,164,0.16440761420250632,0.0010710786182301577,0.038710779202621524,0.30090707915716325,0.10492426041306568,0.004284314472920631
XGB + Morgan-2048,different_assays,sd,393,164,0.14808769625676851,0.003254542614893854,0.025822579481558236,0.28091207496921966,0.10474585731477833,0.009763627844681563
XGB + Morgan-2048,different_assays,mad,393,164,0.11386560902657748,0.02397971240420493,-0.008501926286856214,0.23379812340649977,0.09913717597851246,0.02397971240420493
XGB + Morgan-2048,different_assays,mpad,393,164,0.1349832535193805,0.007369049482787438,0.015055787280611856,0.266052922051666,0.10301985362089204,0.014738098965574877
XGB + Morgan-2048,different_documents,range,52,28,0.4485796774684819,0.0008521548535449585,0.10948465983537495,0.6977509664900493,0.40446034146727583,0.003408619414179834
XGB + Morgan-2048,different_documents,sd,52,28,0.4172029248005793,0.0020909368488969964,0.06882644661289097,0.6710604926790072,0.3845894454146775,0.005608283779281933
XGB + Morgan-2048,different_documents,mad,52,28,0.42128384250315953,0.0018694279264273108,0.0693832182314527,0.6698874039626397,0.41941313595730256,0.005608283779281933
XGB + Morgan-2048,different_documents,mpad,52,28,0.40200902451153764,0.0031348523064549986,0.055567284883098936,0.6538792376947358,0.3743872472026574,0.005608283779281933
