inchikey,scaffold,representation,algorithm,partition,fold,y_true,y_pred,absolute_error
AADPNBLFAHYYBS-VXGBXAGGSA-N,c1ccc(NC2CCCCC2)cc1,Morgan-2048,RF,0,0,7.2,6.608219999999976,0.591780000000024
AASDZFLETHTKKS-UHFFFAOYSA-N,O=C(Cn1ccc2[nH]c(=O)[nH]c(=O)c21)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,5.58,6.241589999999995,0.661589999999995
ABYAAFDXQRWTJE-DOTOQJQBSA-N,O=c1c2cccc(=O)n2ccn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,8.37,7.8325299999999975,0.5374700000000017
ADSGDRJGOSICMK-XJKSGUPXSA-N,O=c1c2cccc(=O)n2cnn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,8.62,7.609460000000013,1.0105399999999864
AHHGHXFTQVZBPO-UHFFFAOYSA-N,c1ccc(Oc2nccc3ccccc23)cc1,Morgan-2048,RF,0,0,6.48,6.1220333333333325,0.3579666666666679
AIWIRRGSGOLMQX-UHFFFAOYSA-N,O=c1c2ccncc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,Morgan-2048,RF,0,0,7.75,7.792736666666666,0.04273666666666642
AKDLWVHAJCEAKD-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cccnc2)n1,Morgan-2048,RF,0,0,9.0,8.744260000000011,0.25573999999998875
AKQMAZGMANPFFK-SFHVURJKSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CCCN(c2ccccc2)C1,Morgan-2048,RF,0,0,6.51,6.4673490000000236,0.042650999999976236
AKZDACQLYHVVHF-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,7.62,7.746039999999979,0.12603999999997928
ALEGZXFLOSZQFJ-OIPGSKEASA-N,c1ccccc1,Morgan-2048,RF,0,0,5.36,6.233940000000032,0.8739400000000312
ANDQZSDRMVJBQS-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cccnc2)n1,Morgan-2048,RF,0,0,7.77,7.986031666666693,0.2160316666666935
AOZCJXPKMNJCQR-GGYDESQDSA-N,O=c1c2cccnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,Morgan-2048,RF,0,0,7.53,7.6451666666666505,0.11516666666665021
APCBJCFILSRMRW-NQPRBDNZSA-N,c1ccccc1,Morgan-2048,RF,0,0,4.69,5.4291849999999995,0.7391849999999991
AUHAKZCDXJXNIS-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,7.31,7.567399999999981,0.257399999999981
AUNMQOCPGMEAST-ZFWWWQNUSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CCCC3)nc2)n1,Morgan-2048,RF,0,0,8.7,8.485315714285708,0.21468428571429143
AVGRXCGZLZSSPC-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccc(C3CCCCC3)cc2)cs1,Morgan-2048,RF,0,0,7.33,7.292712000000011,0.037287999999988664
AWDCUIDEVZIBKR-UHFFFAOYSA-N,O=C(Cn1cnc2ccccc2c1=O)NCCc1ccccc1,Morgan-2048,RF,0,0,6.1,6.069779999999999,0.030220000000000802
AXRMPMIEMCXOTJ-VQFNDLOPSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(-c5ncco5)c4)CC32)no1,Morgan-2048,RF,0,0,7.125,7.296448333333314,0.17144833333331366
AXVJKWISWYSMEO-MOPGFXCFSA-N,O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.54,7.120297333333352,0.4197026666666481
AXVJKWISWYSMEO-UHFFFAOYSA-N,O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.02,7.120297333333352,0.10029733333335233
BAORHIGPTKNHRW-NLWGTHIKSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccc5ccncc5c4)CC32)no1,Morgan-2048,RF,0,0,7.949999999999999,7.276331333333369,0.6736686666666305
BDMMXSHQKHUFKQ-SFHVURJKSA-N,O=C(c1cn2c(=O)n(Cc3ccccc3)c(=O)cc2s1)N1CCC(Oc2ccccc2)C1,Morgan-2048,RF,0,0,6.82,6.898304999999996,0.07830499999999585
BGQSZBPWPOXQTF-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,Morgan-2048,RF,0,0,5.75,5.640469142857132,0.10953085714286814
BJNUBTRKMKILLA-DEOSSOPVSA-N,O=C(NCc1c[nH]c(=O)c(-c2ccccc2)c1)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,Morgan-2048,RF,0,0,7.07,7.202693333333368,0.13269333333336775
BJZUYRRKPINCLY-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccnc1,Morgan-2048,RF,0,0,6.03,6.30937999999998,0.2793799999999793
BOBRNSMQJNURJX-JEYLPNPQSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,Morgan-2048,RF,0,0,8.7,8.727219999999953,0.027219999999953615
BPKDWFGRTCABEJ-FQEVSTJZSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,Morgan-2048,RF,0,0,6.82,6.666885000000031,0.15311499999996947
BPKDWFGRTCABEJ-HXUWFJFHSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,Morgan-2048,RF,0,0,5.88,6.666885000000031,0.7868850000000309
BPSURRHXFTVNPC-AWEZNQCLSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cncnc2)n1,Morgan-2048,RF,0,0,8.52,8.662839999999985,0.14283999999998542
BSJPLCMGLSAERZ-APWZRJJASA-N,O=C(NCc1cc(-c2cncnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,6.39,6.899003333333305,0.5090033333333057
BTNUNVLIPAOCMM-LAQFHYBYSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccc5ocnc5c4)CC32)no1,Morgan-2048,RF,0,0,7.654999999999999,7.23190000000001,0.42309999999998915
BUQGXZUGSBDOIZ-QFIPXVFZSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,Morgan-2048,RF,0,0,8.14,7.522379999999989,0.6176200000000112
BXAPLRVODFEIFT-AWEZNQCLSA-N,O=C1NCCc2c1sc1ncn(Cc3nnn(CCc4ccccc4)n3)c(=O)c21,Morgan-2048,RF,0,0,7.8,7.863371666666669,0.06337166666666949
