assay_id,dataset_role,document_id,source_id,n_records,n_unique_compounds,assay_summary
CHEMBL5735476,primary,CHEMBL5727829,S01,281,275,FLIPR/CHO; cinnamaldehyde; ChEMBL EC50
CHEMBL5733104,primary,CHEMBL5726658,S02,256,244,Whole-cell electrophysiology; EPC-9/EPC-10
CHEMBL5737786,primary,CHEMBL5728946,S03,201,181,FLIPR/CHO; cinnamaldehyde; ChEMBL EC80; 20 min
CHEMBL5735477,primary,CHEMBL5727829,S01,174,169,FLIPR/CHO; cinnamaldehyde; paired assay
CHEMBL5735475,primary,CHEMBL5727828,S04,158,150,FLIPR/CHO; cinnamaldehyde; EC80
CHEMBL5735474,primary,CHEMBL5727828,S04,139,131,FLIPR/CHO; cinnamaldehyde; EC80
CHEMBL5736402,primary,CHEMBL5728262,S05,110,108,FLIPR/CHO; cinnamaldehyde; 20 min
CHEMBL3887573,sensitivity,CHEMBL3886359,S06,98,97,Radiometric 45Ca assay; CHO; AITC
CHEMBL5734964,primary,CHEMBL5727588,S07,51,51,293T; Calcium 4/FDSS7000; AITC
CHEMBL5735742,primary,CHEMBL5727953,S10,63,33,FLIPR/CHO; cinnamaldehyde
CHEMBL5318377,primary,CHEMBL5316309,S08,34,33,CHO-K1 hTRPA1 GCaMP6; FLIPR
CHEMBL3299551,primary,CHEMBL3297713,S09,33,33,CHO-TREX; cinnamaldehyde; FLIPR
CHEMBL2071976,primary,CHEMBL2069204,S11,29,28,Ca2+-activated calcium flux
CHEMBL3789590,primary,CHEMBL3784976,S12,28,28,AITC; Fluo-4; FLIPR; CHO
CHEMBL2071975,primary,CHEMBL2069204,S11,28,27,Zn2+-activated calcium flux
CHEMBL4036813,primary,CHEMBL4033760,S14,23,23,PatchXpress electrophysiology
CHEMBL5739043,sensitivity,CHEMBL5729590,S13,23,23,Calcium 6; FLIPR; AITC
CHEMBL3300585,primary,CHEMBL3297644,S16,22,22,HEK293-T-REx; Fluo-4 NW
CHEMBL5737489,sensitivity,CHEMBL5728802,S15,22,22,Calcium 6; FLIPR; AITC
CHEMBL1944172,primary,CHEMBL1938315,S17,21,21,HEK293; dibenzazepine ester; fluorometry
CHEMBL4049011,primary,CHEMBL4043298,S18,20,20,HEK293; cinnamaldehyde; FLIPR; 20 min in ChEMBL
CHEMBL4190659,primary,CHEMBL4190175,S19,19,19,Full-length human TRPA1; PatchXpress
CHEMBL3888736,sensitivity,CHEMBL3886811,S20,18,18,FLIPR dose-response; cinnamaldehyde
CHEMBL5739380,sensitivity,CHEMBL5729732,S21,18,18,Calcium 6; FLIPR; AITC 10 uM in ChEMBL
CHEMBL3364861,primary,CHEMBL3352245,S22,17,17,HEK293-T-REx; Fluo-4 NW
CHEMBL3222891,primary,CHEMBL3217709,S23,15,15,TRPA1 antagonist assay; sparse context
CHEMBL3706106,sensitivity,CHEMBL3639113,S24,15,15,FLIPR calcium assay; AITC
CHEMBL1949457,primary,CHEMBL1944607,S25,14,14,Human IMR90; acrolein calcium response
CHEMBL3757221,primary,CHEMBL3751794,S26,13,13,Human TRPA1 inhibition; sparse context
CHEMBL4347276,primary,CHEMBL4346663,S27,23,12,HEK293; cinnamaldehyde; Fluo-4 AM
CHEMBL3888572,sensitivity,CHEMBL3886764,S28,12,12,FLIPR dose-response; cinnamaldehyde
CHEMBL5577374,primary,CHEMBL5576088,S29,12,12,HEK293; AITC 5 uM; Fluo-4 AM
CHEMBL5318380,primary,CHEMBL5316309,S08,11,11,Human wild-type TRPA1; CHO-K1; GCaMP6
CHEMBL5360087,primary,CHEMBL5357058,S30,11,11,HEK293; AITC; FLIPR; ChEMBL 5 min
CHEMBL5731467,primary,CHEMBL5725783,S31,11,10,CHO/FDSS fluorescence; cinnamaldehyde
CHEMBL3363074,primary,CHEMBL3352604,S32,10,10,AITC-induced 45Ca uptake
CHEMBL4837096,primary,CHEMBL4834489,S33,10,10,HEK293T; AITC; FLIPR
CHEMBL1118499,primary,CHEMBL1155439,S34,9,9,AITC-induced intracellular calcium influx
CHEMBL3858029,primary,CHEMBL3856226,S35,8,8,Manual patch clamp; cinnamaldehyde
CHEMBL4828020,primary,CHEMBL4825747,S36,8,8,CHO; calcium FLIPR assay
CHEMBL1118226,primary,CHEMBL1155439,S34,7,7,CHO; cinnamaldehyde-induced calcium influx
CHEMBL3791636,primary,CHEMBL3784976,S12,7,7,CHO T-REx; AITC; 45Ca uptake
CHEMBL5096638,excluded,CHEMBL5096151,S37,6,6,Desensitization assay; isothiocyanate
CHEMBL5126028,primary,CHEMBL5120955,S38,6,6,HEK293; AITC; FLIPR
CHEMBL5142855,primary,CHEMBL5137102,S39,6,6,HEK293; AITC; FLIPR Tetra
CHEMBL5621665,primary,CHEMBL5620371,S40,6,6,TRPA1 inhibition; sparse context
CHEMBL5732578,excluded,CHEMBL5726382,S41,6,6,AITC FLIPR; excluded due to duplicate evidence
CHEMBL1118227,sensitivity,CHEMBL1155439,S34,5,5,Generic TRPA1 antagonist activity
CHEMBL5737447,sensitivity,CHEMBL5728782,S42,5,5,Whole-cell electrophysiology; EPC-9/EPC-10
CHEMBL1118500,primary,CHEMBL1155439,S34,4,4,AITC-induced currents
CHEMBL1118501,primary,CHEMBL1155439,S34,4,4,Noxious-cold activation
CHEMBL5708945,primary,CHEMBL5705895,S43,4,4,HEK293F; mustard oil 30 uM; FLIPR
CHEMBL4190624,excluded,CHEMBL4190175,S19,3,3,oS5 chimera
CHEMBL5096639,excluded,CHEMBL5096151,S37,3,3,Desensitization assay; icilin
CHEMBL5680872,primary,CHEMBL5678803,S44,3,3,HEK293F; AITC; FLIPR
CHEMBL1049520,primary,CHEMBL1153159,S45,2,2,HEK293; 45Ca influx
CHEMBL1118734,primary,CHEMBL1155439,S34,2,2,4-HNE-induced response
CHEMBL2422134,primary,CHEMBL2417435,S46,2,2,TRPA1 FLIPR assay; sparse context
CHEMBL3299560,primary,CHEMBL3297713,S09,2,2,CHO-TREX; AITC; FLIPR
CHEMBL3299561,primary,CHEMBL3297713,S09,2,2,CHO-TREX; dibenzoxazepine agonist
CHEMBL4022626,primary,CHEMBL4020807,S47,2,2,TRPA1 inhibition; sparse context
CHEMBL4036824,primary,CHEMBL4033760,S14,2,2,Calcium-flux FLIPR assay
CHEMBL4347272,primary,CHEMBL4346663,S27,2,2,HEK293; AITC 5 uM
CHEMBL5577360,primary,CHEMBL5576088,S29,2,2,HEK293; AITC 10 uM; Fluo-4 AM
CHEMBL5680929,primary,CHEMBL5678803,S44,2,2,TRPA1 antagonist assay; sparse context
CHEMBL5680930,excluded,CHEMBL5678803,S44,2,2,HEK293; AITC
CHEMBL1118233,primary,CHEMBL1155439,S34,1,1,URB597-induced calcium influx
CHEMBL1118234,primary,CHEMBL1155439,S34,1,1,Nifedipine-induced calcium influx
CHEMBL1118735,primary,CHEMBL1155439,S34,1,1,Cinnamaldehyde-induced response
CHEMBL1118736,primary,CHEMBL1155439,S34,1,1,Trinitrophenol-induced response
CHEMBL1118737,primary,CHEMBL1155439,S34,1,1,Hypertonic 400 mOsm response
CHEMBL1118738,primary,CHEMBL1155439,S34,1,1,Formalin-induced calcium influx
CHEMBL1118739,primary,CHEMBL1155439,S34,1,1,HEK293; cinnamaldehyde; FLIPR
CHEMBL1118740,primary,CHEMBL1155439,S34,1,1,HEK293; AITC; FLIPR
CHEMBL1949463,excluded,CHEMBL1944607,S25,1,1,CHO calcium assay
CHEMBL2328091,excluded,CHEMBL2321869,S48,1,1,HEK293; FLIPR
CHEMBL2433975,primary,CHEMBL2429801,S49,1,1,Mustard-oil-activated current
CHEMBL3299550,primary,CHEMBL3297713,S09,1,1,Generic TRPA1 antagonist assay
CHEMBL3757748,primary,CHEMBL3751759,S50,1,1,HEK293; AITC calcium assay
CHEMBL4022611,primary,CHEMBL4020807,S47,1,1,HEK293; AITC; Fluo-4
CHEMBL4022625,primary,CHEMBL4020807,S47,1,1,Whole-cell patch clamp; AITC
CHEMBL4036817,excluded,CHEMBL4033760,S14,1,1,oS5 chimera; PatchXpress
CHEMBL4190621,excluded,CHEMBL4190175,S19,1,1,oS5 chimera; PatchXpress
CHEMBL4190628,primary,CHEMBL4190175,S19,1,1,Human TRPA1 electrophysiology
CHEMBL4347295,excluded,CHEMBL4346663,S27,1,1,HEK293F; AITC 30 uM
CHEMBL4347296,excluded,CHEMBL4346663,S27,1,1,CHO; cinnamaldehyde 50 uM
CHEMBL4880071,primary,CHEMBL4507256,S51,1,1,FLIPR-based Ca2+ assay
