inchikey,scaffold,partition,fold
AADNQPJZRQAMOD-OOHWJJMZSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2ccc(N3CC4CC4C3)nc2)n1,0,2
AADPNBLFAHYYBS-VXGBXAGGSA-N,c1ccc(NC2CCCCC2)cc1,0,4
AAOJDMVYFBSKFT-UHFFFAOYSA-N,c1ccc(-c2cn3ccccc3n2)cc1,0,3
AARVTENEMZRJQO-VIZZQPHQSA-N,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
AASDZFLETHTKKS-UHFFFAOYSA-N,O=C(Cn1ccc2[nH]c(=O)[nH]c(=O)c21)Nc1nc(-c2ccccc2)cs1,0,4
ABOASBRALGFDPQ-GJZGRUSLSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(C2CCC(c3ccccc3)C2)c(=O)o1,0,4
ABQLUKILVQNPKZ-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1ccccn1,0,2
ABYAAFDXQRWTJE-DOTOQJQBSA-N,O=c1c2cccc(=O)n2ccn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,1
ADSGDRJGOSICMK-XJKSGUPXSA-N,O=c1c2cccc(=O)n2cnn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,0
ADVULNQGSUGCCG-KXTWHKPSSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(-c5cccnc5)c4)CC32)no1,0,3
AFCFNPKLZQLKPK-APWZRJJASA-N,O=C(NCc1cnn(-c2ccccc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,1
AGKMZNQCTOWDFF-ZDUSSCGKSA-N,O=C1NCCc2c1sc1ncn(Cc3nc(CCc4ccccc4)no3)c(=O)c21,0,2
AGPQIQSLJAQASS-GLJUWKHASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccc5ncsc5c4)CC32)no1,0,3
AGXCNAPHYYLCHN-IBGZPJMESA-N,O=C(NCc1cn(-c2cccnc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2cnccc2o1,0,3
AHHGHXFTQVZBPO-UHFFFAOYSA-N,c1ccc(Oc2nccc3ccccc23)cc1,0,3
AHJAJTHWNBFJBF-YCPHGPKFSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
AIAJJMJAXBVVRD-YABSGUDNSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccn4)CC32)no1,0,4
AIWIRRGSGOLMQX-UHFFFAOYSA-N,O=c1c2ccncc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,2
AIXGIOZVDSOSEU-HWWDLCQESA-N,O=c1c2cccnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,1
AJFUDTVIKFGQMS-UHFFFAOYSA-N,c1ccc(Oc2ncnc3[nH]ccc23)cc1,0,3
AJGIUAWWWVYNEY-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cccnc2)n1,0,3
AKDLWVHAJCEAKD-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cccnc2)n1,0,3
AKQMAZGMANPFFK-GOSISDBHSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CCCN(c2ccccc2)C1,0,0
AKQMAZGMANPFFK-SFHVURJKSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CCCN(c2ccccc2)C1,0,0
AKQMAZGMANPFFK-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CCCN(c2ccccc2)C1,0,0
AKXYWNUSJTXEKI-NHAGDIPZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccnc4)CC32)no1,0,4
AKZDACQLYHVVHF-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
AKZZSBPAHSIOBC-XVDXERDNSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,0
ALDVAWDTIJSMNO-ZDHWLGKOSA-N,c1ccccc1,0,1
ALEGZXFLOSZQFJ-OIPGSKEASA-N,c1ccccc1,0,1
ALPYZNHKWLPYPM-HDJSIYSDSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,0
AMABIFVVCZYKIM-WCQYABFASA-N,O=c1c2[nH]nnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
AMMUKFMDWPZRHN-OOHWJJMZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncno3)c(=O)c21)Nc1cccc(-c2cnc(N3CC4CC4C3)nc2)n1,0,0
ANDQZSDRMVJBQS-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cccnc2)n1,0,1
