label,representation,algorithm,partition,RMSE_pooled,R2_pooled,Spearman_pooled,RMSE_foldmean,RMSE_foldsd,R2_foldmean,R2_foldsd,Spearman_foldmean,Spearman_foldsd,R2_per_fold
RF + Morgan-2048,Morgan-2048,RF,0,0.6219217252139759,0.5727198507781268,0.724172684316174,0.6214388611416906,0.0273946654489232,0.5496340148143034,0.1072876466143804,0.7104662186154594,0.0955023186723352,0.4067;0.6757;0.4857;0.5558;0.6243
RF + Morgan-2048,Morgan-2048,RF,1,0.6205654430582787,0.5745814372776726,0.7243193156359792,0.618872119645475,0.0512197306176365,0.5575742768325098,0.1186031862297644,0.709451222985769,0.0906448775623416,0.4050;0.7212;0.6094;0.5541;0.4982
RF + Morgan-2048,Morgan-2048,RF,2,0.6246993356043881,0.5688947133018327,0.721532703215728,0.6238654180851816,0.0360763083956339,0.5584160838702067,0.0757278350593929,0.7077806526156686,0.0882612525445667,0.4414;0.5963;0.6037;0.6263;0.5243
XGB + Morgan-2048,Morgan-2048,XGB,0,0.6274827478640964,0.5650444867747099,0.7199639172561741,0.6270203099691111,0.0269288356905066,0.5397200606521224,0.1209890111993808,0.704534514755867,0.1043475777924885,0.3557;0.6741;0.5097;0.5437;0.6153
XGB + Morgan-2048,Morgan-2048,XGB,1,0.6263527035031731,0.5666097136567405,0.7271622679812435,0.6252131821457942,0.0422224178734444,0.5507160970401773,0.1078878101106364,0.7140245442548632,0.0783912199040827,0.4095;0.6955;0.6065;0.5406;0.5015
XGB + Morgan-2048,Morgan-2048,XGB,2,0.6248932573178145,0.568627020839461,0.7337554537573993,0.6239684920260908,0.0379951312662962,0.5570233812504208,0.0851879663118384,0.7186875264440058,0.0996499565648133,0.4288;0.5983;0.5917;0.6477;0.5186
RF + RDKit-15,RDKit-15,RF,0,0.6659603764081223,0.5100654793649007,0.7044872403515927,0.6638744936301432,0.0588842047259798,0.478185440111975,0.1817179315728667,0.6953237645003576,0.099457866844169,0.1777;0.6445;0.4496;0.5540;0.5652
RF + RDKit-15,RDKit-15,RF,1,0.6335053549961738,0.5566549731474961,0.7228194689247411,0.632675900267018,0.0362325825422802,0.5450648318060591,0.0757750711851116,0.7162898194308986,0.0466640427817261,0.4600;0.6654;0.5311;0.5546;0.5143
RF + RDKit-15,RDKit-15,RF,2,0.6353916487716025,0.5540108787004102,0.719619189751606,0.6348846344913536,0.0283735840059863,0.543980471012573,0.0605106848347037,0.7136283961198486,0.0673716198131106,0.4729;0.6057;0.5098;0.6086;0.5230
XGB + RDKit-15,RDKit-15,XGB,0,0.7186097188623027,0.4295370628390494,0.6686309998976472,0.7152843989145695,0.0772023049589585,0.3834272176629337,0.2641963213937117,0.6570859977515212,0.110873283763002,-0.0648;0.6225;0.3965;0.4516;0.5113
XGB + RDKit-15,RDKit-15,XGB,1,0.6635687159322083,0.5135781597205966,0.7071035795864623,0.6632058343784333,0.0245321730164154,0.5014818045059997,0.0687210137089131,0.7036329927558145,0.0418338996955766,0.4117;0.6040;0.5096;0.4872;0.4948
XGB + RDKit-15,RDKit-15,XGB,2,0.6614061950698349,0.5167434184943349,0.7089897956289437,0.6605529172936182,0.0375499389421405,0.5066756598200124,0.0665933011902715,0.7025314281298736,0.0702525497460148,0.4320;0.5593;0.4913;0.5904;0.4603
RF + ChemBERTa-CLS,ChemBERTa-CLS,RF,0,0.640728705186422,0.5464871229243448,0.7191320469812895,0.639017900484825,0.0523139143755667,0.5270027171599861,0.1087216064287736,0.7126081149460788,0.0849643742864567,0.3610;0.6459;0.4939;0.5923;0.5420
RF + ChemBERTa-CLS,ChemBERTa-CLS,RF,1,0.6195467648165833,0.5759769675872397,0.7361339499752728,0.6182818656868291,0.0442398061352654,0.5646330458948944,0.0842806692008937,0.7294059382556674,0.0535491115310803,0.4609;0.6821;0.5732;0.5956;0.5114
RF + ChemBERTa-CLS,ChemBERTa-CLS,RF,2,0.6228892676199198,0.5713893513750017,0.7329348535710223,0.6223698455896092,0.028434464493951,0.5606778532028587,0.0680044599319362,0.7236907733983571,0.0644592027099566,0.4754;0.6266;0.5334;0.6342;0.5338
XGB + ChemBERTa-CLS,ChemBERTa-CLS,XGB,0,0.6164027552465826,0.580269621276599,0.748137196424614,0.6140361226148082,0.060332379363723404,0.5590839472413592,0.09621203251603526,0.7378141870298726,0.06198830988461525,0.4138;0.6777;0.5605;0.5995;0.5439
XGB + ChemBERTa-CLS,ChemBERTa-CLS,XGB,1,0.618912539515671,0.5768446615266563,0.7382535134982773,0.6172522235632812,0.050651062130053985,0.5640745767909368,0.09982657638041935,0.7275972670805834,0.06703843229849102,0.4295;0.6958;0.5566;0.6156;0.5228
XGB + ChemBERTa-CLS,ChemBERTa-CLS,XGB,2,0.628527841545341,0.5635944140507695,0.733642069593806,0.6281579916285465,0.024103556553864473,0.5534231837789224,0.05937229216154665,0.7230510074472651,0.06836981310729481,0.4766;0.6238;0.5262;0.6013;0.5392
RF + MolFormer-Mean,MolFormer-Mean,RF,0,0.6368202062526531,0.5520031805512768,0.7165792941795948,0.634362804377719,0.06248807399923959,0.5317112244598763,0.08640613533921244,0.7077424507738643,0.062427731757222,0.4149;0.6569;0.5108;0.5348;0.5411
RF + MolFormer-Mean,MolFormer-Mean,RF,1,0.6400350884628493,0.5474684863272137,0.7070797650125789,0.6383426625947897,0.05200432163582421,0.5350575914215406,0.09521162251009792,0.6990224514099281,0.09270322351794134,0.4550;0.6787;0.5588;0.5406;0.4422
RF + MolFormer-Mean,MolFormer-Mean,RF,2,0.6336539975984227,0.5564469001164227,0.7168961181228443,0.6330281550373007,0.031479032754619454,0.5450066066863366,0.07734306575889914,0.7014138978187746,0.09371389142573736,0.4304;0.6078;0.5646;0.6157;0.5066
XGB + MolFormer-Mean,MolFormer-Mean,XGB,0,0.6423537675460261,0.5441837414788726,0.7207506735590088,0.6397612175687101,0.06445877728804378,0.5243999839261185,0.08412402747520863,0.7113091667235912,0.052422032050319714,0.4149;0.6491;0.5046;0.5132;0.5403
XGB + MolFormer-Mean,MolFormer-Mean,XGB,1,0.642496076038582,0.5439817539970586,0.7079053492791682,0.6409857331450243,0.04922521748950367,0.531729146958215,0.09228360070378405,0.6978361120359994,0.0815331477806746,0.4599;0.6635;0.5819;0.5150;0.4383
