field,n_present,n_missing,coverage_percent
activity_id,5528,0,100.0
assay_chembl_id,5528,0,100.0
assay_description,5528,0,100.0
assay_type,5528,0,100.0
bao_endpoint,5528,0,100.0
bao_format,5528,0,100.0
bao_label,5528,0,100.0
document_chembl_id,5528,0,100.0
document_year,5528,0,100.0
molecule_chembl_id,5528,0,100.0
parent_molecule_chembl_id,5528,0,100.0
potential_duplicate,5528,0,100.0
record_id,5528,0,100.0
src_id,5528,0,100.0
standard_flag,5528,0,100.0
standard_type,5528,0,100.0
target_chembl_id,5528,0,100.0
target_organism,5528,0,100.0
target_pref_name,5528,0,100.0
target_tax_id,5528,0,100.0
type,5528,0,100.0
canonical_smiles,5519,9,99.837
relation,5442,86,98.444
standard_relation,5442,86,98.444
units,5372,156,97.178
activity_comment,4798,730,86.795
standard_units,3914,1614,70.803
qudt_units,2384,3144,43.126
uo_units,2384,3144,43.126
standard_value,2382,3146,43.09
value,2382,3146,43.09
pchembl_value,2203,3325,39.852
ligand_efficiency,2062,3466,37.301
document_journal,777,4751,14.056
action_type,134,5394,2.424
activity_properties,98,5430,1.773
molecule_pref_name,66,5462,1.194
standard_text_value,37,5491,0.669
text_value,37,5491,0.669
data_validity_comment,7,5521,0.127
data_validity_description,7,5521,0.127
upper_value,3,5525,0.054
assay_variant_accession,0,5528,0.0
assay_variant_mutation,0,5528,0.0
modality,0,5528,0.0
standard_upper_value,0,5528,0.0
toid,0,5528,0.0
