activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,canonical_smiles,target_chembl_id,target_organism,standard_type,type,effective_type,standard_relation,relation,effective_relation,standard_value,standard_upper_value,standard_units,pchembl_value,value,upper_value,units,activity_comment,standard_text_value,text_value,data_validity_comment,potential_duplicate,activity_properties_json,exact_ic50,non_exact_ic50,interval_ic50,right_censored_ic50,left_censored_ic50,text_contains_inactive,single_point_inhibition,missing_structure,potential_duplicate_true,has_validity_comment,missing_target_organism,has_standard_text_value,descriptive_flags
3088817,CHEMBL1049520,CHEMBL1153159,CHEMBL593902,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,2800.0,,nM,5.55,2.8,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3088818,CHEMBL1049520,CHEMBL1153159,CHEMBL603735,CC(=C\c1ccccc1)/C(C)=N/O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,2700.0,,nM,5.57,2.7,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3088819,CHEMBL1049520,CHEMBL1153159,CHEMBL589871,CC(/C=C/c1ccc(Cl)cc1)=N\O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088820,CHEMBL1049520,CHEMBL1153159,CHEMBL589873,CC(/C=N/O)=C\c1ccc(Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088821,CHEMBL1049520,CHEMBL1153159,CHEMBL589874,O/N=C/C=C/c1ccccc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088822,CHEMBL1049520,CHEMBL1153159,CHEMBL590847,CC(/C=C/c1ccc2c(c1)OCO2)=N\O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088823,CHEMBL1049520,CHEMBL1153159,CHEMBL590118,CC(/C=N/O)=C\c1ccc(C(C)(C)C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3088824,CHEMBL1049520,CHEMBL1153159,CHEMBL590119,NC(/C=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1)=N\O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,,,,,,,,,,,Not Determined,,,,0,,False,True,False,False,False,False,False,False,False,False,False,False,non_exact_ic50
3301226,CHEMBL1118226,CHEMBL1155439,CHEMBL593902,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,3100.0,,nM,5.51,3.1,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301227,CHEMBL1118226,CHEMBL1155439,CHEMBL1085708,CCC(=N\O)/C(C)=C/c1ccc(F)nc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,1250.0,,nM,5.90,1.25,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301228,CHEMBL1118226,CHEMBL1155439,CHEMBL1085709,CCC(=N\O)/C(C)=C/c1cccs1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,11000.0,,nM,4.96,11.0,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301229,CHEMBL1118226,CHEMBL1155439,CHEMBL1084370,CCC(=N\O)/C(C)=C/c1ccc(OC)nc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,23400.0,,nM,4.63,23.4,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301230,CHEMBL1118226,CHEMBL1155439,CHEMBL1085944,CCC(=N\O)/C(C)=C/c1ccsc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,1320.0,,nM,5.88,1.32,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301231,CHEMBL1118226,CHEMBL1155439,CHEMBL1084371,CCC(=N\O)/C(C)=C/c1cccnc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,17000.0,,nM,4.77,17.0,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301232,CHEMBL1118226,CHEMBL1155439,CHEMBL1084372,CCC(=N\O)/C(C)=C/c1ccncc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,8610.0,,nM,5.07,8.61,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301233,CHEMBL1118226,CHEMBL1155439,CHEMBL1084373,CCC(=N\O)/C(C)=C/c1ccc(C)nc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301234,CHEMBL1118226,CHEMBL1155439,CHEMBL1084374,CCC(=N\O)/C(C)=C/c1cnc2ccccc2c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301235,CHEMBL1118226,CHEMBL1155439,CHEMBL1083489,CCC(=N\O)/C(C)=C/c1cnccc1C,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301236,CHEMBL1118226,CHEMBL1155439,CHEMBL1083792,CCC(=N\O)/C(C)=C/c1ccc(C(F)(F)F)nc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301237,CHEMBL1118226,CHEMBL1155439,CHEMBL1083793,CCC(=N\O)/C(C)=C/c1cncc2ccccc12,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,>,>,>,100000.0,,nM,,100.0,,uM,,,,,0,,False,True,False,True,False,False,False,False,False,False,False,False,non_exact_ic50;right_censored_ic50
3301220,CHEMBL1118227,CHEMBL1155439,CHEMBL1085863,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2C1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,500.0,,nM,6.30,500.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301221,CHEMBL1118227,CHEMBL1155439,CHEMBL1083797,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4ccc(I)cc4)cs3)c2C1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,250.0,,nM,,250.0,,nM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301222,CHEMBL1118227,CHEMBL1155439,CHEMBL1083798,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4cccc(C(F)(F)F)c4)cs3)c2C1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,500.0,,nM,6.30,500.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301223,CHEMBL1118227,CHEMBL1155439,CHEMBL1083803,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4ccc(Cl)c(Cl)c4)cs3)c2C1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,250.0,,nM,6.60,250.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301224,CHEMBL1118227,CHEMBL1155439,CHEMBL1083804,Cc1cc(-c2csc(NC(=O)Cc3cccc4c3C(=O)N(C)C4=O)n2)ccc1Cl,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,250.0,,nM,6.60,250.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301225,CHEMBL1118227,CHEMBL1155439,CHEMBL1086092,CN1C(=O)c2cccc(CC(=O)Nc3nc(-c4cc(F)c(C(F)(F)F)c(F)c4)cs3)c2C1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,250.0,,nM,6.60,250.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301176,CHEMBL1118233,CHEMBL1155439,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,850.0,,nM,6.07,0.85,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301193,CHEMBL1118234,CHEMBL1155439,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,1800.0,,nM,5.75,1.8,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301150,CHEMBL1118499,CHEMBL1155439,CHEMBL1086371,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccccc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,21.0,,nM,7.68,21.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301151,CHEMBL1118499,CHEMBL1155439,CHEMBL1086586,COc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,91.0,,nM,7.04,91.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301152,CHEMBL1118499,CHEMBL1155439,CHEMBL1086587,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc([N+](=O)[O-])cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,35.0,,nM,7.46,35.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301153,CHEMBL1118499,CHEMBL1155439,CHEMBL1086588,O=C(NC(Sc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(Br)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,51.0,,nM,7.29,51.0,,nM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301164,CHEMBL1118499,CHEMBL1155439,CHEMBL1085104,CC(=O)SC(NC(=O)c1ccc(Cl)cc1)C(Cl)(Cl)Cl,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,1100.0,,nM,5.96,1.1,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301165,CHEMBL1118499,CHEMBL1155439,CHEMBL1084857,Cc1ccc(C(=O)NC(Sc2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,1400.0,,nM,5.85,1.4,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301175,CHEMBL1118499,CHEMBL1155439,CHEMBL1086589,Cc1ccc(C(=O)NC(Sc2ccc([N+](=O)[O-])cc2)C(Cl)(Cl)Cl)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,2000.0,,nM,5.70,2.0,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
3301181,CHEMBL1118499,CHEMBL1155439,CHEMBL1086530,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3ccc(Br)cc3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301182,CHEMBL1118499,CHEMBL1155439,CHEMBL1083145,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3ccccc3F)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301183,CHEMBL1118499,CHEMBL1155439,CHEMBL1083146,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3ccccc3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301184,CHEMBL1118499,CHEMBL1155439,CHEMBL1086081,CCc1ccc(-c2csc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)n2)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301185,CHEMBL1118499,CHEMBL1155439,CHEMBL1082280,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3cccc(F)c3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301186,CHEMBL1118499,CHEMBL1155439,CHEMBL1086082,COc1cccc(-c2csc(NC(=O)Cn3cnc4c3c(=O)n(C)c(=O)n4C)n2)c1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301187,CHEMBL1118499,CHEMBL1155439,CHEMBL1086097,CCOc1ccccc1-c1csc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)n1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301188,CHEMBL1118499,CHEMBL1155439,CHEMBL1086338,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3cccc(Cl)c3)cs2)n(C)c1=O,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,<,<,<,1000.0,,nM,,1.0,,uM,,,,,0,,False,True,False,False,True,False,False,False,False,False,False,False,non_exact_ic50;left_censored_ic50
3301189,CHEMBL1118499,CHEMBL1155439,CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,CHEMBL6007,Homo sapiens,IC50,IC50,IC50,=,=,=,6200.0,,nM,5.21,6.2,,uM,,,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,exact_ic50
